,hp,chp,boiler,pv,supply_config,hr_mode,T_dhw_sp,hwt_volume,costs,co2
289,Air_60kW,150000.0,200000.0,75000,3-runner,off,60,20000,3684985.0,293.1
290,Air_40kW,50000.0,200000.0,25000,2-runner,off,55,20000,3004974.0,208.9
291,Air_40kW,0.0,200000.0,25000,3-runner,off,65,20000,3304798.0,201.3
292,Air_40kW,50000.0,200000.0,75000,3-runner,on,65,20000,3475331.0,276.5
293,Air_40kW,150000.0,200000.0,25000,3-runner,on,65,20000,3623024.0,509.7
294,Air_30kW,150000.0,300000.0,25000,2-runner,on,55,20000,3218577.0,209.4
295,Air_40kW,150000.0,200000.0,50000,3-runner,off,65,15000,3637797.0,512.5
296,Air_30kW,0.0,200000.0,50000,3-runner,off,65,15000,3330112.0,210.3
297,Air_30kW,0.0,200000.0,75000,3-runner,off,55,10000,3362614.0,217.5
298,Air_30kW,0.0,300000.0,75000,2-runner,on,60,15000,2982522.0,198.3
299,Air_30kW,0.0,400000.0,25000,2-runner,on,60,15000,2937072.0,200.0
300,Air_30kW,0.0,200000.0,25000,2-runner,on,65,10000,2896657.493216876,202.1729999999993
301,Air_30kW,0.0,200000.0,25000,2-runner,on,65,15000,2896739.0009610574,202.58099999999908
302,Air_30kW,0.0,200000.0,25000,2-runner,on,65,20000,2897020.851060212,201.38149999999882
303,Air_30kW,0.0,200000.0,25000,2-runner,on,60,10000,2896041.5068709347,201.70700000000008
304,Air_30kW,0.0,200000.0,25000,2-runner,on,60,15000,2896348.752124162,201.61866666666654
305,Air_30kW,0.0,200000.0,25000,2-runner,on,60,20000,2896117.457057452,201.4599999999998
306,Air_30kW,0.0,200000.0,25000,2-runner,on,55,10000,2896241.0990907624,196.44750000000158
307,Air_30kW,0.0,200000.0,25000,2-runner,on,55,15000,2897555.432899709,196.8858333333349
308,Air_30kW,0.0,200000.0,25000,2-runner,on,55,20000,2897409.764452732,197.34433333333493
309,Air_30kW,0.0,200000.0,25000,2-runner,off,65,10000,2897610.677938362,209.6938333333337
310,Air_30kW,0.0,200000.0,25000,2-runner,off,65,15000,2897837.1948258607,209.19150000000027
311,Air_30kW,0.0,200000.0,25000,2-runner,off,60,10000,2897007.3455260363,210.27866666666625
312,Air_30kW,0.0,200000.0,25000,2-runner,off,60,15000,2897425.900555341,209.4628333333327
313,Air_30kW,0.0,200000.0,25000,2-runner,off,60,20000,2897042.941720539,209.039833333333
